,Nivel,Area,DESCRIPCIÓN PROGRAMA,TIPO DE PROMO,Antigüedad,Duracion,INICIOS,Lanzamiento,VA EJECUTIVAS?,VA HIBRIDAS?,VA UTEL JOVEN?,CLAVE PROGRAMA MX
105,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN EMPRENDIMIENTO,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIMPFED
106,Licenciatura,"Negocios, Innovación y Liderazgo",LICENCIATURA EN AGRONEGOCIOS,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIAGFED
107,Licenciatura,Ingeniería y Soluciones,LICENCIATURA EN INGENIERÍA EN ENERGÍAS RENOVABLES,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIERFED
108,Licenciatura,Ingeniería y Soluciones,LICENCIATURA EN INGENIERÍA EN DESARROLLO DE SOFTWARE,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIIDFED
109,Licenciatura,Diseño y Comunicación,LICENCIATURA EN DISEÑO Y ANIMACIÓN DIGITAL,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIADFED
110,Licenciatura,Diseño y Comunicación,LICENCIATURA EN DIRECCIÓN DE ARTE,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLIDAFED
111,Maestria,"Negocios, Innovación y Liderazgo",Maestría en Alta Dirección y Gobierno Corporativo,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABVFED
112,Maestria,Ingeniería y Tecnología,Maestría en Desarrollo de Videojuegos y Realidad Extendida,ARQUITECTURA DE SOFTWARE,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMABGFED
113,Licenciatura,Ingeniería y Tecnología,LICENCIATURA EN SEGURIDAD INFORMÁTICA,PRICING MEDIO,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,SI,UTLLISIFED
114,Licenciatura,Diseño y Comunicación,LICENCIATURA EN COMUNICACIÓN CORPORATIVA,UNICA,Antiguos,,Mensual,,SI,SI,SI,UNILICVESN
115,Licenciatura,Ciencias Sociales y Humanidades,LICENCIATURA EN MEDIOS DIGITALES,UNICA,Antiguos,,Mensual,,SI,SI,SI,UNILIMIESN
116,Maestria,Ciencias Sociales y Humanidades,Maestría en Innovación Educativa y Diseño Instruccional,PRICING ALTO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,SI,,UTLMAAZFED
117,Licenciatura,Ingeniería y Soluciones,Licenciatura en Ingeniería en Sistemas Inteligentes,PRICING ALTO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),SI,,,UTLLIBIFED
118,Doctorado,Económico-Administrativas,DOCTORADO EN EDUCACIÓN,PRICING ALTO,Antiguos,,Mensual,,,,,UTLDOEDFED
119,Doctorado,Ingeniería y Tecnología,Doctorado en Ciencia de Datos e Inteligencia Artificial,CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),,,,UTLDOAMFED
120,Doctorado,Ingeniería y Tecnología,Doctorado en Ciberseguridad de Sistemas Autónomos,CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),,,,UTLDOANFED
121,Doctorado,Ingeniería y Tecnología,Doctorado en Urbanismo,PRICING MEDIO,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),,,,UTLDOAIFED
122,Doctorado,Económico-Administrativas,Doctorado en Alta Dirección y Gobierno Corporativo,CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,Mensual,Abril 2026 (Bloque 1),,,,UTLDOAAFED
123,Diplomado,Económico-Administrativas,Diplomado en Dirección de operaciones,6 meses,Antiguos,6 meses,Mensual,,,,,UTSDIDONAS
124,Diplomado,Económico-Administrativas,Diplomado en Administración de proyectos,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIPRNAS
125,Diplomado,Económico-Administrativas,Diplomado en Administración financiera,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIAFNAS
126,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Soft skills y habilidades gerenciales,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDISHNAS
127,Diplomado,Económico-Administrativas,Diplomado en Coaching organizacional,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDICONAS
128,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Pensamiento crítico e innovación,6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDIPCNAS
129,Diplomado,Económico-Administrativas,Diplomado en Desarrollo e-learning,6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDIDENAS
130,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Diversidad y equidad de género,6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDIDGNAS
131,Diplomado,Ingeniería y Tecnología,Diplomado en Project management,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIPMNAS
132,Diplomado,Ingeniería y Tecnología,Diplomado en Ciencias de datos e inteligencia artificial,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIIANAS
133,Diplomado,Ingeniería y Tecnología,Diplomado en Inteligencia artificial aplicada,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIINNAS
134,Diplomado,Económico-Administrativas,Diplomado en Estrategia e innovación de negocios,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIEINAS
135,Diplomado,Económico-Administrativas,Diplomado en Contabilidad y Gestión financiera,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDICFNAS
136,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Gestión de Experiencias de Aprendizaje en Ambientes Virtuales,8 meses,Antiguos,8 meses,Trimestral,,,,,UTSDIGENAS
137,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Diseño y Evaluación en Entornos Digitales,8 meses,Antiguos,8 meses,Trimestral,,,,,UTSDIEENAS
138,Diplomado,Económico-Administrativas,Diplomado en Análisis Económico Integral,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIAENAS
139,Diplomado,Económico-Administrativas,Diplomado en Métodos Cuantitativos para la Toma de Decisiones,8 meses,Antiguos,8 meses,Trimestral,,,,,UTSDIMCNAS
140,Diplomado,Ingeniería y Tecnología,Diplomado en Programación y Tecnología de Redes,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIPTNAS
141,Diplomado,Ingeniería y Tecnología,Diplomado en Diseño y Desarrollo de Software,8 meses,Antiguos,8 meses,Trimestral,,,,,UTSDIDDNAS
142,Diplomado,Ingeniería y Tecnología,Diplomado en Gestión de Calidad y Mantenimiento de Software ,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIGCNAS
143,Diplomado,Ingeniería y Tecnología,Diplomado en Tecnologías de la Información Aplicadas a la Logística y el Transporte,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDITINAS
144,Diplomado,Ingeniería y Tecnología,Diplomado en Estrategias y Operaciones de Transporte,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIEONAS
145,Diplomado,Ingeniería y Tecnología,Diplomado en Principios en el Arte Digital y Animación,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIPDNAS
146,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Gestión curricular en educación a distancia,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIDTNAS
147,Diplomado,Hospitalidad y Turismo,Diplomado en Gestión Sostenible de la Cadena de Suministro,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDISCNAS
148,Diplomado,Ingeniería y Tecnología,Diplomado en Animación Digital y Creación de Contenidos,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDILCNAS
149,Diplomado,Ingeniería y Tecnología,Diplomado en Desarrollo de Medios Interactivos,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIMINAS
150,Diplomado,Ingeniería y Tecnología,Diplomado en Creatividad y Comunicación Digital,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDIVCNAS
151,Diplomado,Ingeniería y Tecnología,Diplomado en Fuentes y tecnologías de Energías Sostenibles,8 meses,Antiguos,8 meses,Bimestral,,,,,UTSDITENAS
152,Diplomado,Ingeniería y Tecnología,Diplomado en Gestión y eficiencia de sistemas energéticos,8 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIESNAS
153,Diplomado,Ingeniería y Tecnología,Diplomado en Transición Energética Sostenible,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDITSNAS
154,Diplomado,Ciencias de la Salud,Diplomado en Mindfulness para los Individuos y las Familias,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIMFNAS
155,Diplomado,Ciencias de la Salud,Diplomado en Atención al adulto mayor,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIAMNAS
156,Diplomado,Ciencias de la Salud,Diplomado en Nutrición especial en enfermedades metabólicas,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDINUNAS
157,Diplomado,Ciencias Sociales y Humanidades,Diplomado en Tanatología,6 meses,Antiguos,6 meses,Mensual ,,,,,UTSDITANAS
158,Diplomado,Ciencias de la Salud,"Diplomado en Actualización en Gineco-obstetricia para el 
primer y segundo nivel de atención",6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDIGONAS
159,Diplomado,Ciencias de la Salud,Diplomado en Actualización en urgencias,6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDIUMNAS
160,Diplomado,Económico-Administrativas,Diplomado en Administración de servicios de salud,6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDISSNAS
161,Diplomado,Ciencias de la Salud,Diplomado en Educación en ciencias de la salud,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDICSNAS
162,Diplomado,Ciencias de la Salud,Diplomado en Pruebas Psicológicas para Adultos,6 meses,Antiguos,6 meses,Bimestral,,,,,UTSDIPPNAS
163,Diplomado,Ciencias de la Salud,Diplomado en Rehabilitación del adulto mayor,6 meses,Antiguos,6 meses,Trimestral,,,,,UTSDIRANAS
164,Licenciaturas,Ingeniería y Tecnología,LICENCIATURA EN DISEÑO Y PRODUCCIÓN DE VIDEOJUEGOS,Ing robotica,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIAIFED
165,Licenciaturas,Económico-Administrativas,"Licenciatura en Comercialización y Dirección de Marcas",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIBXFED
166,Licenciaturas,Ingeniería y Tecnología,Licenciatura en Tecnologías Interactivas y Experiencia e Interfaz de Usuario,PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIBGFED
167,Licenciaturas,Económico-Administrativas,Licenciatura en Consultoría y Desarrollo Empresarial,PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIAOFED
168,Licenciaturas,Económico-Administrativas,"Licenciatura en Comercialización Turística y Mercados Digitales",PRICING BAJO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLICBFED
169,Licenciaturas,Económico-Administrativas,"Licenciatura en Comercio Internacional",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIABFED
170,Licenciaturas,Económico-Administrativas,"Licenciatura en Publicidad y Medios",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIAUFED
171,Licenciaturas,Económico-Administrativas,"Licenciatura en Administración de Negocios Gastronómicos",PRICING BAJO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIBZFED
172,Licenciaturas,"Arquitectura, Diseño y Comunicación","Licenciatura en Comunicación y Manejo de Redes Sociales",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIAWFED
173,Licenciaturas,"Arquitectura, Diseño y Comunicación","Licenciatura en Comunicación y Periodismo",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLICGFED
174,Licenciaturas,Ingeniería y Tecnología,"Licenciatura en Ingeniería en Automatización Industrial",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLLIBEFED
175,Maestrias,Económico-Administrativas,"Maestría en Inteligencia Financiera y Detección de Fraudes
",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAACFED
176,Maestrias,Económico-Administrativas,"Maestría en Administración de Riesgos Financieros",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMABSFED
177,Maestrias,Económico-Administrativas,"Maestría en Innovación en Modelos de Negocio",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMABTFED
178,Maestrias,Económico-Administrativas,"Maestría en Finanzas Sustentables y Proyectos de Inversión",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAKFED
179,Maestrias,Económico-Administrativas,"Maestría en Economía Digital y Nuevas Formas de Mercado",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAEFED
180,Maestrias,Económico-Administrativas,"Maestría en Asesoría Empresarial Estratégica",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAHFED
181,Maestrias,Económico-Administrativas,"Maestría en Auditoría Financiera",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAGFED
182,Maestrias,Económico-Administrativas,"Maestría en Finanzas Públicas y Gestión Gubernamental",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),,,,UTLMAAJFED
183,Maestrias,Económico-Administrativas,"Maestría en Economía Sustentable y Empresas Responsables",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),,,,UTLMAADFED
184,Maestrias,Económico-Administrativas,"Maestría en Estrategia de Comercio Internacional y Aduanas",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAMFED
185,Maestrias,Económico-Administrativas,"Maestría en Mercadotecnia Gastronómica y de Destinos",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAUFED
186,Maestrias,Económico-Administrativas,"Maestría en Transformación Digital Empresarial",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAOFED
187,Maestrias,"Arquitectura, Diseño y Comunicación","Maestría en Diseño de Interacción y Experiencia de Usuario",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMABUFED
188,Maestrias,Económico-Administrativas,"Maestría en Transformación Digital Empresarial",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAOFED
189,Maestrias,Económico-Administrativas,"Maestría en Gestión del Cambio y Transformación Organizacional
",PRICING BAJO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMAAAFED
190,Maestrias,Económico-Administrativas,"Maestría en Gestión del Talento y Bienestar Organizacional",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),,,,UTLMAAFFED
191,Maestrias,Económico-Administrativas,Maestría en Tecnología para la Gestión Pública y Gobierno Digital,PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMABEFED
192,Maestrias,Ingeniería y Tecnología,"Maestría en Infraestructura y Cómputo en la Nube",PRICING MEDIO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMABHFED
193,Maestrias,Ingeniería y Tecnología,"Maestría en Interfaces Inteligentes y Tecnología Inmersiva",PRICING ALTO,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLMABLFED
194,Doctorado,Derecho y Ciencias Políticas,"Doctorado en Justicia Digital y Ciberderecho",CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLDOAJFED
195,Doctorado,Económico-Administrativas,"Doctorado en Economía Pública, Fiscalidad y Gobernanza Financiera",CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLDOAPFED
196,Doctorado,Económico-Administrativas,"Doctorado en Transformación Digital Organizacional
",CIE DAT E IA / CIBERSEG Y GEST DE RIESGOS,Nuevos programas,,,Junio 2026 (Bloque 2),SI,SI,,UTLDOABFED
197,Licenciaturas,Económico-Administrativas,Licenciatura en Gestión Empresarial y Logística,PRICING MEDIO,Nuevos programas,,,Julio 2026 (Bloque 3),SI,SI,,UTLLIBTFED
198,Licenciaturas,Económico-Administrativas,Licenciatura en Dirección de Operaciones Empresariales,PRICING MEDIO,Nuevos programas,,,Julio 2026 (Bloque 3),SI,SI,,UTLLIAQFED
