,,,,,,4,,,,,,,,,,,,,
Pais,Nivel,Jornada,Zona,TIPO DE PROMO,ANTIGÜEDAD LEAD,1er pago,2do pago,3er pago,4to pago,5to pago,Nombre paquete,Nombre escalonado,Posicionamiento,Precio de lista,Nombre paquete ejecutivo,Nombre escalonado ejecutivo,Nombre paquete Hibrido,Nombre escalonado Hibrido,Nombre escalonado con titulo
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,Hotlead,110100,214800,214800,214800,214800,ARG3.10%.HOTL.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,Hotlead,121000,225700,225700,225700,225700,ARG3.10%.HOTL.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,Hotlead,130700,245000,245000,245000,245000,ARG3.10%.HOTL.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,RMKT,96000,186400,186400,186400,186400,ARG3.10%.RMKT.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,RMKT,106900,197300,197300,197300,197300,ARG3.10%.RMKT.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,RMKT,116400,216400,216400,216400,216400,ARG3.10%.RMKT.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,SUPER PROMO,100700,195800,195800,195800,195800,ARG3.10%.SUPE.TIT.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,SUPER PROMO,111600,206700,206700,206700,206700,ARG3.10%.SUPE.TIT.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,SUPER PROMO,121200,225900,225900,225900,225900,ARG3.10%.SUPE.TIT.EQUSA.PLATZI.LI.INT.,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,Hotlead,201300,201300,201300,201300,201300,ARG3.SEMESTRAL.HOTL.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,Hotlead,212200,212200,212200,212200,212200,ARG3.SEMESTRAL.HOTL.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,Hotlead,231500,231500,231500,231500,231500,ARG3.SEMESTRAL.HOTL.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,RMKT,174600,174600,174600,174600,174600,ARG3.SEMESTRAL.RMKT2.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,RMKT,185500,185500,185500,185500,185500,ARG3.SEMESTRAL.RMKT2.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,RMKT,204800,204800,204800,204800,204800,ARG3.SEMESTRAL.RMKT2.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,183500,183500,183500,183500,183500,ARG3.SEMESTRAL.SUPE.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,194400,194400,194400,194400,194400,ARG3.SEMESTRAL.SUPE.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,213700,213700,213700,213700,213700,ARG3.SEMESTRAL.SUPE.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,Hotlead,191200,191200,191200,191200,191200,ARG3.SEMESTRAL.5%.HOTL.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,Hotlead,201600,201600,201600,201600,201600,ARG3.SEMESTRAL.5%.HOTL.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,Hotlead,219900,219900,219900,219900,219900,ARG3.SEMESTRAL.5%.HOTL.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,RMKT,165900,165900,165900,165900,165900,ARG3.SEMESTRAL.5%.RMKT.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,RMKT,176200,176200,176200,176200,176200,ARG3.SEMESTRAL.5%.RMKT.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,RMKT,194600,194600,194600,194600,194600,ARG3.SEMESTRAL.5%.RMKT.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,SUPER PROMO,174300,174300,174300,174300,174300,ARG3.SEMESTRAL.5%.SUPE.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,SUPER PROMO,184700,184700,184700,184700,184700,ARG3.SEMESTRAL.5%.SUPE.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales / Todos los programas / Semestral,SUPER PROMO,203000,203000,203000,203000,203000,ARG3.SEMESTRAL.5%.SUPE.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,Hotlead,181600,181600,181600,181600,181600,ARG3.SEMESTRAL.10%.HOTL.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,Hotlead,191500,191500,191500,191500,191500,ARG3.SEMESTRAL.10%.HOTL.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,Hotlead,208900,208900,208900,208900,208900,ARG3.SEMESTRAL.10%.HOTL.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,RMKT,157600,157600,157600,157600,157600,ARG3.SEMESTRAL.10%.RMKT.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,RMKT,167400,167400,167400,167400,167400,ARG3.SEMESTRAL.10%.RMKT.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,RMKT,184900,184900,184900,184900,184900,ARG3.SEMESTRAL.10%.RMKT.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,SUPER PROMO,165600,165600,165600,165600,165600,ARG3.SEMESTRAL.10%.SUPE.TIT.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,SUPER PROMO,175500,175500,175500,175500,175500,ARG3.SEMESTRAL.10%.SUPE.TIT.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
Argentina,Licenciatura,Intensiva,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Semestral,SUPER PROMO,192900,192900,192900,192900,192900,ARG3.SEMESTRAL.10%.SUPE.TIT.EQUSA.PLATZI.LI.INT.1.10.26,,,"371,8",,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,149,210,221,246,246,USA.P1.LI.INT.,P6.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,164,225,236,261,261,USA.P1.LI.INT.,P6.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,169,230,241,266,266,USA.P1.LI.INT.,P6.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,179,240,251,276,276,USA.P1.LI.INT.,P6.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,179,240,251,276,276,USA.P1.LI.INT.,P6.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,179,240,251,269,269,USA.INGLES.P1.LI.INT.,P1.USA.INGLES.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,113,181,207,231,231,USA.P2.LI.INT.,P7.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,128,196,222,246,246,USA.P2.LI.INT.,P7.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,133,201,227,251,251,USA.P2.LI.INT.,P7.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,143,211,237,261,261,USA.P2.LI.INT.,P7.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,143,211,237,261,261,USA.P2.LI.INT.,P7.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,143,211,237,254,254,USA.INGLES.P2.LI.INT.,P2.USA.INGLES.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,113,166,189,210,210,USA.P3.LI.INT.,P8.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,128,181,204,225,225,USA.P3.LI.INT.,P8.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,133,186,209,230,230,USA.P3.LI.INT.,P8.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,143,196,219,240,240,USA.P3.LI.INT.,P8.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,143,196,219,240,240,USA.P3.LI.INT.,P8.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,143,196,219,233,233,USA.INGLES.P3.LI.INT.,P3.USA.INGLES.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,134,189,199,241,241,USA.P4.LI.INT.,P9.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,149,204,214,256,256,USA.P4.LI.INT.,P9.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,154,209,219,261,261,USA.P4.LI.INT.,P9.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,164,219,229,271,271,USA.P4.LI.INT.,P9.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,164,219,229,271,271,USA.P4.LI.INT.,P9.USA.INT3M,,500,,,,,
USA,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,164,219,229,264,264,USA.INGLES.P4.LI.INT.,P4.USA.INGLES.INT3M,,500,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,Hotlead,80,96,112,112,112,SAL.HOTL.TIT.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,Hotlead,95,111,127,127,127,SAL.HOTL.TIT.EQUSA.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,72,86,101,101,101,SAL.RMKT1.TIT.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,87,101,116,116,116,SAL.RMKT1.TIT.EQUSA.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,RMKT+60,70,84,99,99,99,SAL.RMKT2.TIT.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,RMKT+60,85,99,114,114,114,SAL.RMKT2.TIT.EQUSA.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,76,91,107,107,107,SAL.SUPE.TIT.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,91,106,122,122,122,SAL.SUPE.TIT.EQUSA.LI.COM.,,,162,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,91,110,129,129,129,SAL.HOTL.TIT.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,106,125,144,144,144,SAL.HOTL.TIT.EQUSA.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,72,97,113,113,113,SAL.RMKT1.TIT.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,87,112,128,128,128,SAL.RMKT1.TIT.EQUSA.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,70,91,106,106,106,SAL.RMKT2.TIT.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+60,85,106,121,121,121,SAL.RMKT2.TIT.EQUSA.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,87,105,123,123,123,SAL.SUPE.TIT.LI.INT.,,,180,,,,,
El Salvador,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,102,120,138,138,138,SAL.SUPE.TIT.EQUSA.LI.INT.,,,180,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,Hotlead,3045,3355,6445,6445,6445,DOM.P1.LI.COM.,P1.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,Hotlead,3045,3355,7225,7225,7225,DOM.P1.LI.COM.,P2.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,Hotlead,3375,3685,7555,7555,7555,DOM.P1.LI.COM.,P2.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,2695,2965,5675,5675,5675,DOM.P2.LI.COM.,P3.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,2695,2965,6455,6455,6455,DOM.P2.LI.COM.,P4.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,3025,3295,6785,6785,6785,DOM.P2.LI.COM.,P4.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,2785,3065,5875,5875,5875,DOM.P3.LI.COM.,P5.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,2785,3065,6655,6655,6655,DOM.P3.LI.COM.,P6.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,3115,3395,6985,6985,6985,DOM.P3.LI.COM.,P6.DOM.COM2M,,15,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,3318,3659,7062,7062,7062,DOM.P1.LI.INT.,P2.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,3318,3659,7842,7842,7842,DOM.P1.LI.INT.,P3.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,3648,3989,8172,8172,8172,DOM.P1.LI.INT.,P3.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,2937,3235,6215,6215,6215,DOM.P2.LI.INT.,P4.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,2937,3235,6995,6995,6995,DOM.P2.LI.INT.,P5.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,3267,3565,7325,7325,7325,DOM.P2.LI.INT.,P5.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,3032,3341,6427,6427,6427,DOM.P3.LI.INT.,P6.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,3032,3341,7207,7207,7207,DOM.P3.LI.INT.,P7.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,3362,3671,7537,7537,7537,DOM.P3.LI.INT.,P7.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,UNICA,2497,2777,5402,5402,5402,DOM.P4.LI.INT.,P8.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,UNICA,2497,2777,6182,6182,6182,DOM.P4.LI.INT.,P9.DOM.INT2M,,21176,,,,,
R.Dominicana,Licenciatura,Intensiva,Centro,Princing Medio,UNICA,2827,3107,6512,6512,6512,DOM.P4.LI.INT.,P9.DOM.INT2M,,21176,,,,,
Guatemala,Licenciatura,Completa,Centro,Princing Medio,Hotlead,611,736,860,860,860,GUA.HOTL.TIT.LI.COM.,,,1055,,,,,
Guatemala,Licenciatura,Completa,Centro,Princing Medio,Hotlead,726,851,975,975,975,GUA.HOTL.TIT.EQUSA.LI.COM.,,,1055,,,,,
Guatemala,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,549,660,772,772,772,GUA.RMKT1.TIT.LI.COM.,,,1055,,,,,
Guatemala,Licenciatura,Completa,Centro,Princing Medio,RMKT+30,664,776,887,887,887,GUA.RMKT1.TIT.EQUSA.LI.COM.,,,1055,,,,,
Guatemala,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,581,699,817,817,817,GUA.SUPE.TIT.LI.COM.,,,1055,,,,,
Guatemala,Licenciatura,Completa,Centro,Princing Medio,SUPER PROMO,696,814,932,932,932,GUA.SUPE.TIT.EQUSA.LI.COM.,,,1055,,,,,
Guatemala,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,702,845,989,989,989,GUA.HOTL.TIT.LI.INT.,,,1055,,,,,
Guatemala,Licenciatura,Intensiva,Centro,Princing Medio,Hotlead,817,960,1104,1104,1104,GUA.HOTL.TIT.EQUSA.LI.INT.,,,1055,,,,,
Guatemala,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,549,743,868,868,868,GUA.RMKT1.TIT.LI.INT.,,,1055,,,,,
Guatemala,Licenciatura,Intensiva,Centro,Princing Medio,RMKT+30,664,858,983,983,983,GUA.RMKT1.TIT.EQUSA.LI.INT.,,,1055,,,,,
Guatemala,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,666,803,940,940,940,GUA.SUPE.TIT.LI.INT.,,,1055,,,,,
Guatemala,Licenciatura,Intensiva,Centro,Princing Medio,SUPER PROMO,782,918,1055,1055,1055,GUA.SUPE.TIT.EQUSA.LI.INT.,,,1055,,,,,
Ecuador,Maestria,,Centro,Pricing Medio,Hotlead,104,104,233,233,233,ECU.P1.MAE.,P3.ECU.MAE2M,,333,,,,,
Ecuador,Maestria,,Centro,Pricing Medio,RMKT+30,98,98,221,221,221,ECU.P2.MAE.,P4.ECU.MAE2M,,333,,,,,
Ecuador,Maestria,,Centro,Pricing Medio,RMKT+60,87,87,197,197,197,ECU.P3.MAE.,P5.ECU.MAE2M,,333,,,,,
Ecuador,Maestria,,Centro,Pricing Medio,SUPER PROMO,100,100,226,226,226,ECU.P4.MAE.,P6.ECU.MAE2M,,333,,,,,
Ecuador,Maestria,,Centro,Princing Alto,Hotlead,110,110,245,245,245,,,,333,,,,,
Ecuador,Maestria,,Centro,Princing Alto,RMKT+30,103,103,230,230,230,,,,333,,,,,
Ecuador,Maestria,,Centro,Princing Alto,RMKT+60,94,94,211,211,211,,,,333,,,,,
Ecuador,Maestria,,Centro,Princing Alto,SUPER PROMO,105,105,235,235,235,,,,333,,,,,
Peru,Doctorado,,Centro,Pricing Medio,Hotlead,253,485,601,866,866,PER.P5.DOC.,P7.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Pricing Medio,RMKT+30,238,456,563,817,817,PER.P6.DOC.,P8.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Pricing Medio,RMKT+60,221,419,516,755,755,PER.P7.DOC.,P9.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Pricing Medio,SUPER PROMO,247,467,577,837,837,PER.P8.DOC.,P10.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Princing Alto,Hotlead,276,529,655,944,944,PER.P9.DOC.,P11.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Princing Alto,RMKT+30,259,497,615,888,888,PER.P4.DOC.,P12.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Princing Alto,RMKT+60,237,455,563,812,812,PER.P10.DOC.,P13.PER.DOC3M,,1350,,,,,
Peru,Doctorado,,Centro,Princing Alto,SUPER PROMO,265,508,628,906,906,PER.P11.DOC.,P14.PER.DOC3M,,1350,,,,,
Colombia,Maestria,,Centro,Princing Alto,Hotlead,498160,498160,870925,870925,870925,COL.P1.MAE.,P4.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Princing Alto,RMKT+30,471570,471570,825446,825446,825446,COL.P5.MAE.,P8.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Princing Alto,RMKT+60,417165,417165,732395,732395,732395,COL.P6.MAE.,P9.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Pricing Medio,Hotlead,451555,451555,828085,828085,828085,COL.P2.MAE.,P5.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Pricing Medio,RMKT+30,427326,427326,784777,784777,784777,COL.P7.MAE.,P10.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Pricing Medio,RMKT+60,377754,377754,696168,696168,696168,COL.P8.MAE.,P11.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Princing Bajo,Hotlead,443680,443680,745555,745555,745555,COL.P3.MAE.,P6.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Princing Bajo,RMKT+30,419850,419850,706429,706429,706429,COL.P9.MAE.,P12.COL.MAE2M,,4384500,,,,,
Colombia,Maestria,,Centro,Princing Bajo,RMKT+60,371094,371094,626376,626376,626376,COL.P10.MAE.,P13.COL.MAE2M,,4384500,,,,,
Colombia,Doctorado,,Centro,Doc. Educacion,Hotlead,322650,606566,1117908,1117908,1117908,COL.P5.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Doc. Educacion,RMKT+30,322650,606566,1059309,1059309,1059309,COL.P6.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Doc. Educacion,RMKT+60,322650,606566,939708,939708,939708,COL.P7.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Doc. Educacion,SUPER PROMO,322650,606566,1097764,1097764,1097764,COL.P8.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Resto de los Doc.,Hotlead,322650,606566,738700,738700,738700,COL.P9.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Resto de los Doc.,RMKT+30,322650,606566,699517,699517,699517,COL.P10.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Resto de los Doc.,RMKT+60,322650,606566,619543,619543,619543,COL.P11.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Colombia,Doctorado,,Centro,Resto de los Doc.,SUPER PROMO,322650,606566,725230,725230,725230,COL.P12.DOC.4.10.26,P16.COL.DOC2M,,1387500,,,,,
Argentina,Maestria,,Centro,Princing Buenos Aires / Fijo,Hotlead,223100,311700,311700,311700,311700,ARG3.HOTL.TIT.PLATZI.MAE.,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Buenos Aires / Fijo,RMKT,196500,273800,273800,273800,273800,ARG3.RMKT.TIT.PLATZI.MAE.,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Buenos Aires / Fijo,SUPER PROMO,205500,286400,286400,286400,286400,ARG3.SUPE.TIT.PLATZI.MAE.,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Provincia / Fijo,Hotlead,212800,296900,296900,296900,296900,ARG3.5%.HOTL.TIT.PLATZI.MAE.,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Provincia / Fijo,RMKT,187500,260900,260900,260900,260900,ARG3.5%.RMKT.TIT.PLATZI.MAE.,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Provincia / Fijo,SUPER PROMO,196000,273000,273000,273000,273000,ARG3.5%.SUPE.TIT.PLATZI.MAE.,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Buenos Aires / Semestral,Hotlead,276200,276200,276200,276200,276200,ARG3.SEMESTRAL.HOTL.TIT.PLATZI.MAE.1.10.26,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Buenos Aires / Semestral,RMKT,242700,242700,242700,242700,242700,ARG3.SEMESTRAL.RMKT.TIT.PLATZI.MAE.1.10.26,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,253900,253900,253900,253900,253900,ARG3.SEMESTRAL.SUPE.TIT.PLATZI.MAE.1.10.26,,,483000,,,,,
Argentina,Maestria,,Centro,Princing Provincia / Semestral,Hotlead,262400,262400,262400,262400,262400,ARG3.SEMESTRAL.5%.HOTL.TIT.PLATZI.MAE.1.10.26,,,483000,,,,,
