,,,,,,4,,,,,,,,,,,,,
Pais,Nivel,Jornada,Zona,TIPO DE PROMO,ANTIGÜEDAD LEAD,1er pago,2do pago,3er pago,4to pago,5to pago,Nombre paquete,Nombre escalonado,Posicionamiento,Precio de lista,Nombre paquete ejecutivo,Nombre escalonado ejecutivo,Nombre paquete Hibrido,Nombre escalonado Hibrido,Nombre escalonado con titulo
Colombia,Licenciatura,Completa,Centro,Pricing Medio,SUPER PROMO,237614,237614,458145,458145,458145,COL.P12.LI.COM.,P14.COL.COM2M,,"1,186,690",,,,,
Colombia,Licenciatura,Completa,Centro,Pricing Bajo,Hotlead,238850,238850,448250,448250,448250,COL.P13.LI.COM.,P15.COL.COM2M,,"1,186,690",,,,,
Colombia,Licenciatura,Completa,Centro,Pricing Bajo,RMKT+30,228234,228234,427024,427024,427024,COL.P14.LI.COM.,P16.COL.COM2M,,"1,186,690",,,,,
Colombia,Licenciatura,Completa,Centro,Pricing Bajo,RMKT+60,206514,206514,383594,383594,383594,COL.P15.LI.COM.,P17.COL.COM2M,,"1,186,690",,,,,
Colombia,Licenciatura,Completa,Centro,Pricing Bajo,SUPER PROMO,233330,233330,437212,437212,437212,COL.P16.LI.COM.,P18.COL.COM2M,,"1,186,690",,,,,
Colombia,Licenciatura,Intensiva,Centro,Princing Alto,Hotlead,267716,267716,538460,538460,538460,COL.P2.LI.INT.,P5.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Princing Alto,RMKT+30,255638,255638,512663,512663,512663,COL.P5.LI.INT.,P8.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Princing Alto,RMKT+60,230925,230925,459881,459881,459881,COL.P6.LI.INT.,P9.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Princing Alto,SUPER PROMO,261435,261435,525045,525045,525045,COL.P7.LI.INT.,P10.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Medio,Hotlead,264350,264350,513350,513350,513350,COL.P8.LI.INT.,P11.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Medio,RMKT+30,252442,252442,488825,488825,488825,COL.P9.LI.INT.,P12.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Medio,RMKT+60,228079,228079,438646,438646,438646,COL.P10.LI.INT.,P13.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Medio,SUPER PROMO,258158,258158,500596,500596,500596,COL.P11.LI.INT.,P14.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Bajo,Hotlead,259523,259523,489696,489696,489696,COL.P12.LI.INT.,P15.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Bajo,RMKT+30,247860,247860,466370,466370,466370,COL.P13.LI.INT.,P16.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Bajo,RMKT+60,223997,223997,418643,418643,418643,COL.P14.LI.INT.,P17.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Bajo,SUPER PROMO,253458,253458,477566,477566,477566,COL.P15.LI.INT.,P18.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Especial,Hotlead,278650,278650,762650,762650,762650,COL.P16.LI.INT.,P19.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Especial,RMKT+30,264530,264530,724005,724005,724005,COL.P17.LI.INT.,P20.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Especial,RMKT+60,235641,235641,644938,644938,644938,COL.P18.LI.INT.,P21.COL.INT2M,,"1,302,030",,,,,
Colombia,Licenciatura,Intensiva,Centro,Pricing Especial,SUPER PROMO,271307,271307,742554,742554,742554,COL.P19.LI.INT.,P22.COL.INT2M,,"1,302,030",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,Hotlead,109400,213200,213200,213200,213200,ARG3.HOTL.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,Hotlead,120300,224100,224100,224100,224100,ARG3.HOTL.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
